"Target: Aillik_RP_Spot2, Contains DAT files: APB_426102426ESC03220060804_______M2.DAT"
25166.4  ,       8
25190.9  ,      14
25215.3  ,       9
25239.7  ,       6
25264.1  ,       7
25288.5  ,      11
25312.9  ,       7
25337.3  ,       6
25361.7  ,       4
25386.2  ,       8
25410.6  ,       9
25435.0  ,       4
25459.4  ,   17594
