"Target: Hay_Creek_marsviewer_tweaked, Contains DAT files: APA_411871303ESC01620051986_______M2.DAT"
24621.9  ,       4
24646.4  ,       0
24670.8  ,       3
24695.3  ,       5
24719.8  ,       3
24744.2  ,       2
24768.7  ,       2
24793.1  ,       2
24817.6  ,       2
24842.0  ,       5
24866.5  ,       4
24890.9  ,       3
24915.4  ,       1
24939.8  ,       3
24964.3  ,       6
24988.8  ,       3
25013.2  ,       0
25037.7  ,       6
25062.1  ,       3
25086.6  ,       2
25111.0  ,       5
25135.5  ,       2
25159.9  ,       6
25184.4  ,       3
25208.8  ,       2
25233.3  ,       3
25257.8  ,       3
25282.2  ,       5
25306.7  ,       5
25331.1  ,       4
25355.6  ,       3
25380.0  ,       2
25404.5  ,       4
25428.9  ,       4
25453.4  ,       5
25477.8  ,       5
25502.3  ,    9100
