"Target: Brock_Inlier_RP, Contains DAT files: APA_412492605ESC01690060000_______M2.DAT"
20412.8  ,      25
20437.3  ,      21
20461.7  ,      23
20486.2  ,      27
20510.6  ,      11
20535.1  ,      17
20559.5  ,      12
20584.0  ,      18
20608.4  ,      10
20632.9  ,      19
20657.3  ,      18
20681.8  ,      16
20706.2  ,      10
20730.7  ,       7
20755.1  ,      16
20779.6  ,      12
20804.1  ,      15
20828.5  ,      13
20853.0  ,       9
20877.4  ,      11
20901.9  ,      12
20926.3  ,       8
20950.8  ,       8
20975.2  ,       9
20999.7  ,       6
21024.1  ,       8
21048.6  ,       8
21073.0  ,       8
21097.5  ,      10
21121.9  ,       6
21146.4  ,      10
21170.8  ,      14
21195.3  ,       7
21219.7  ,      13
21244.2  ,      18
21268.6  ,      14
21293.1  ,      11
21317.5  ,      13
21342.0  ,      27
21366.4  ,      34
21390.9  ,      35
21415.3  ,      40
21439.8  ,      38
21464.3  ,      32
21488.7  ,      25
21513.2  ,      24
21537.6  ,      18
21562.1  ,      27
21586.5  ,      19
21611.0  ,      11
21635.4  ,      15
21659.9  ,       7
21684.3  ,       6
21708.8  ,       4
21733.2  ,       2
21757.7  ,       3
21782.1  ,       4
21806.6  ,       5
21831.0  ,       1
21855.5  ,       6
21879.9  ,       7
21904.4  ,       3
21928.8  ,       4
21953.3  ,      12
21977.7  ,       7
22002.2  ,       5
22026.6  ,       3
22051.1  ,       9
22075.5  ,      11
22100.0  ,       9
22124.5  ,      11
22148.9  ,       8
22173.4  ,       5
22197.8  ,       2
22222.3  ,      13
22246.7  ,       6
22271.2  ,       4
22295.6  ,       6
22320.1  ,       7
22344.5  ,       6
22369.0  ,       5
22393.4  ,       2
22417.9  ,       1
22442.3  ,       3
22466.8  ,       1
22491.2  ,       3
22515.7  ,       4
22540.1  ,       2
22564.6  ,       7
22589.0  ,       8
22613.5  ,       6
22637.9  ,       3
22662.4  ,       5
22686.8  ,       2
22711.3  ,       4
22735.7  ,       3
22760.2  ,       1
22784.6  ,       7
22809.1  ,       2
22833.6  ,       4
22858.0  ,       2
22882.5  ,       0
22906.9  ,       7
22931.4  ,       3
22955.8  ,       5
22980.3  ,       3
23004.7  ,       2
23029.2  ,       6
23053.6  ,       2
23078.1  ,       4
23102.5  ,       7
23127.0  ,       3
23151.4  ,       0
23175.9  ,       5
23200.3  ,       3
23224.8  ,       2
23249.2  ,       3
23273.7  ,       4
23298.1  ,       3
23322.6  ,       5
23347.0  ,       3
23371.5  ,       3
23395.9  ,       6
23420.4  ,       0
23444.8  ,       3
23469.3  ,       2
23493.8  ,       2
23518.2  ,       2
23542.7  ,       8
23567.1  ,       4
23591.6  ,       2
23616.0  ,       1
23640.5  ,       1
23664.9  ,       1
23689.4  ,       3
23713.8  ,       6
23738.3  ,       3
23762.7  ,       6
23787.2  ,       6
23811.6  ,       2
23836.1  ,       2
23860.5  ,       5
23885.0  ,       5
23909.4  ,       4
23933.9  ,       1
23958.3  ,       4
23982.8  ,       4
24007.2  ,       6
24031.7  ,       3
24056.1  ,       2
24080.6  ,       2
24105.0  ,       5
24129.5  ,       2
24154.0  ,       2
24178.4  ,       2
24202.9  ,       0
24227.3  ,       5
24251.8  ,       5
24276.2  ,       4
24300.7  ,       2
24325.1  ,       2
24349.6  ,       3
24374.0  ,       5
24398.5  ,       4
24422.9  ,       2
24447.4  ,       4
24471.8  ,       3
24496.3  ,       3
24520.7  ,       4
24545.2  ,       3
24569.6  ,       3
24594.1  ,       5
24618.5  ,       2
24643.0  ,       2
24667.4  ,       3
24691.9  ,       3
24716.3  ,       4
24740.8  ,       3
24765.2  ,       7
24789.7  ,       5
24814.1  ,       5
24838.6  ,       4
24863.1  ,       3
24887.5  ,       1
24912.0  ,       4
24936.4  ,       3
24960.9  ,       4
24985.3  ,       4
25009.8  ,       4
25034.2  ,       2
25058.7  ,       5
25083.1  ,       7
25107.6  ,       5
25132.0  ,       3
25156.5  ,       3
25180.9  ,       4
25205.4  ,       7
25229.8  ,       2
25254.3  ,       3
25278.7  ,       9
25303.2  ,       1
25327.6  ,       5
25352.1  ,       3
25376.5  ,       0
25401.0  ,       2
25425.4  ,       4
25449.9  ,       1
25474.3  ,       2
25498.8  ,    9085
