"Target: Kelso, Contains DAT files: APB_468650567ESC08020441140_______M1.DAT"
22682.7  ,      29
22707.1  ,      21
22731.5  ,      18
22756.0  ,      25
22780.4  ,      27
22804.8  ,      25
22829.2  ,      37
22853.6  ,      24
22878.1  ,      26
22902.5  ,      24
22926.9  ,      31
22951.3  ,      25
22975.7  ,      19
23000.2  ,      24
23024.6  ,      21
23049.0  ,      25
23073.4  ,      19
23097.9  ,      23
23122.3  ,      28
23146.7  ,      30
23171.1  ,      17
23195.5  ,      27
23220.0  ,      20
23244.4  ,      25
23268.8  ,      26
23293.2  ,      29
23317.6  ,      32
23342.1  ,      28
23366.5  ,      20
23390.9  ,      19
23415.3  ,      21
23439.7  ,      25
23464.2  ,      24
23488.6  ,      18
23513.0  ,      21
23537.4  ,      33
23561.9  ,      24
23586.3  ,      25
23610.7  ,      26
23635.1  ,      19
23659.5  ,      12
23684.0  ,      21
23708.4  ,      16
23732.8  ,      18
23757.2  ,      18
23781.6  ,      20
23806.1  ,      19
23830.5  ,      24
23854.9  ,      17
23879.3  ,      22
23903.7  ,      22
23928.2  ,      17
23952.6  ,      25
23977.0  ,      28
24001.4  ,      23
24025.9  ,      30
24050.3  ,      19
24074.7  ,      21
24099.1  ,      19
24123.5  ,      19
24148.0  ,      23
24172.4  ,      18
24196.8  ,      21
24221.2  ,      19
24245.6  ,      27
24270.1  ,      26
24294.5  ,      31
24318.9  ,      23
24343.3  ,      26
24367.7  ,      27
24392.2  ,      21
24416.6  ,      15
24441.0  ,      21
24465.4  ,      19
24489.9  ,      21
24514.3  ,      29
24538.7  ,      22
24563.1  ,      25
24587.5  ,      16
24612.0  ,      24
24636.4  ,      24
24660.8  ,      26
24685.2  ,      18
24709.6  ,      26
24734.1  ,      22
24758.5  ,      24
24782.9  ,      18
24807.3  ,      20
24831.8  ,      19
24856.2  ,      27
24880.6  ,      30
24905.0  ,      18
24929.4  ,      22
24953.9  ,      35
24978.3  ,      18
25002.7  ,      23
25027.1  ,      26
25051.5  ,      29
25076.0  ,      32
25100.4  ,      24
25124.8  ,      29
25149.2  ,      26
25173.6  ,      34
25198.1  ,      30
25222.5  ,      30
25246.9  ,      28
25271.3  ,      31
25295.8  ,      42
25320.2  ,      28
25344.6  ,      31
25369.0  ,      30
25393.4  ,      28
25417.9  ,      27
25442.3  ,      22
25466.7  ,   68158
