"Target: Aillik_RP, Contains DAT files: APB_426124444ESC03230060804_______M2.DAT"
24498.3  ,      69
24522.7  ,      70
24547.2  ,      82
24571.6  ,      75
24596.0  ,      79
24620.4  ,      67
24644.9  ,      74
24669.3  ,      72
24693.7  ,      65
24718.1  ,      80
24742.6  ,      88
24767.0  ,      54
24791.4  ,      62
24815.9  ,      72
24840.3  ,      61
24864.7  ,      76
24889.1  ,      72
24913.6  ,      77
24938.0  ,      67
24962.4  ,      74
24986.8  ,      75
25011.3  ,      73
25035.7  ,      83
25060.1  ,      73
25084.6  ,      85
25109.0  ,      81
25133.4  ,      87
25157.8  ,      84
25182.3  ,     103
25206.7  ,      90
25231.1  ,      96
25255.6  ,      99
25280.0  ,      96
25304.4  ,      75
25328.8  ,     103
25353.3  ,      73
25377.7  ,      82
25402.1  ,      84
25426.5  ,      72
25451.0  ,      87
25475.4  ,  202011
