"Target: Nova_RP, Contains DAT files: APB_458532061ESC06880390000_______M1.DAT"
21721.7  ,      60
21746.1  ,      39
21770.4  ,      44
21794.8  ,      53
21819.1  ,      40
21843.5  ,      38
21867.8  ,      32
21892.2  ,      48
21916.5  ,      47
21940.9  ,      42
21965.3  ,      57
21989.6  ,      53
22014.0  ,      54
22038.3  ,      61
22062.7  ,      70
22087.0  ,      72
22111.4  ,      97
22135.7  ,      85
22160.1  ,      83
22184.4  ,      78
22208.8  ,      91
22233.1  ,      70
22257.5  ,      62
22281.8  ,      50
22306.2  ,      60
22330.5  ,      51
22354.9  ,      30
22379.2  ,      27
22403.6  ,      25
22427.9  ,      35
22452.3  ,      30
22476.6  ,      20
22501.0  ,      22
22525.3  ,      27
22549.7  ,      29
22574.0  ,      30
22598.4  ,      28
22622.7  ,      24
22647.1  ,      24
22671.4  ,      28
22695.8  ,      33
22720.1  ,      25
22744.5  ,      29
22768.8  ,      30
22793.2  ,      29
22817.5  ,      29
22841.9  ,      31
22866.3  ,      38
22890.6  ,      33
22915.0  ,      29
22939.3  ,      28
22963.7  ,      21
22988.0  ,      27
23012.4  ,      28
23036.7  ,      25
23061.1  ,      27
23085.4  ,      28
23109.8  ,      29
23134.1  ,      28
23158.5  ,      26
23182.8  ,      24
23207.2  ,      21
23231.5  ,      26
23255.9  ,      27
23280.2  ,      34
23304.6  ,      26
23328.9  ,      19
23353.3  ,      25
23377.6  ,      31
23402.0  ,      17
23426.3  ,      26
23450.7  ,      19
23475.0  ,      24
23499.4  ,      28
23523.7  ,      26
23548.1  ,      22
23572.4  ,      22
23596.8  ,      29
23621.1  ,      17
23645.5  ,      27
23669.8  ,      28
23694.2  ,      29
23718.6  ,      28
23742.9  ,      16
23767.3  ,      23
23791.6  ,      25
23816.0  ,      27
23840.3  ,      26
23864.7  ,      22
23889.0  ,      25
23913.4  ,      31
23937.7  ,      27
23962.1  ,      24
23986.4  ,      21
24010.8  ,      30
24035.1  ,      24
24059.5  ,      23
24083.8  ,      26
24108.2  ,      17
24132.5  ,      19
24156.9  ,      28
24181.2  ,      23
24205.6  ,      28
24229.9  ,      27
24254.3  ,      25
24278.6  ,      28
24303.0  ,      32
24327.3  ,      15
24351.7  ,      23
24376.0  ,      11
24400.4  ,      23
24424.7  ,      21
24449.1  ,      33
24473.4  ,      35
24497.8  ,      16
24522.1  ,      22
24546.5  ,      26
24570.9  ,      28
24595.2  ,      22
24619.6  ,      28
24643.9  ,      25
24668.3  ,      21
24692.6  ,      22
24717.0  ,      39
24741.3  ,      28
24765.7  ,      19
24790.0  ,      25
24814.4  ,      25
24838.7  ,      26
24863.1  ,      28
24887.4  ,      35
24911.8  ,      41
24936.1  ,      35
24960.5  ,      20
24984.8  ,      25
25009.2  ,      35
25033.5  ,      35
25057.9  ,      24
25082.2  ,      42
25106.6  ,      35
25130.9  ,      26
25155.3  ,      31
25179.6  ,      32
25204.0  ,      32
25228.3  ,      38
25252.7  ,      38
25277.0  ,      29
25301.4  ,      25
25325.7  ,      37
25350.1  ,      37
25374.4  ,      31
25398.8  ,   74166
