"Target: Mojave_DRT_raster2, Contains DAT files: APB_469359455ESC08100441432_______M1.DAT"
25054.0  ,      68
25078.4  ,      69
25102.9  ,      69
25127.3  ,      84
25151.7  ,      77
25176.1  ,      73
25200.6  ,      82
25225.0  ,      77
25249.4  ,      73
25273.8  ,      78
25298.2  ,      77
25322.7  ,      51
25347.1  ,      69
25371.5  ,      73
25395.9  ,      94
25420.4  ,      76
25444.8  ,      61
25469.2  ,  187380
